model,dataset_id,n,exact_match_mean,exact_match_sd,f1_mean,f1_sd,length_mean,length_sd
claude-haiku-4-5,arc_challenge,60,0.0000,0.0000,0.1283,0.1178,41.1167,5.4132
claude-haiku-4-5,boolq,43,0.0000,0.0000,0.0486,0.0187,42.6279,5.0024
claude-haiku-4-5,squad,49,0.0000,0.0000,0.1355,0.1000,35.5714,10.6637
claude-haiku-4-5,trivia_qa,45,0.0000,0.0000,0.0859,0.0789,32.1778,12.7946
claude-sonnet-4-6,arc_challenge,52,0.0000,0.0000,0.1393,0.1173,40.1731,5.9379
claude-sonnet-4-6,boolq,48,0.0000,0.0000,0.0474,0.0226,42.7083,5.1880
claude-sonnet-4-6,squad,49,0.0000,0.0000,0.1282,0.0843,36.9592,9.5232
claude-sonnet-4-6,trivia_qa,51,0.0000,0.0000,0.1175,0.0927,29.7255,14.1796
gemini-2-5-flash,arc_challenge,60,0.0000,0.0000,0.1324,0.1925,8.6500,1.4003
gemini-2-5-flash,boolq,58,0.0000,0.0000,0.1971,0.1177,11.5862,9.6544
gemini-2-5-flash,squad,60,0.0000,0.0000,0.1722,0.1730,10.4000,5.0570
gemini-2-5-flash,trivia_qa,58,0.0000,0.0000,0.0848,0.1353,8.7241,2.3400
gpt-3.5-turbo,arc_challenge,60,0.1000,0.3000,0.5024,0.4018,8.7167,12.4981
gpt-3.5-turbo,boolq,60,0.0000,0.0000,0.1061,0.0697,25.8667,15.3465
gpt-3.5-turbo,squad,60,0.0500,0.2179,0.2887,0.2268,20.3000,16.3262
gpt-3.5-turbo,trivia_qa,60,0.4000,0.4899,0.4998,0.4274,6.4500,5.0479
gpt-4.1-mini,arc_challenge,60,0.0000,0.0000,0.1144,0.0976,46.9333,6.8990
gpt-4.1-mini,boolq,60,0.0000,0.0000,0.0504,0.0499,42.1667,13.3581
gpt-4.1-mini,squad,60,0.0000,0.0000,0.2328,0.1604,22.9000,15.6713
gpt-4.1-mini,trivia_qa,60,0.0000,0.0000,0.1329,0.1099,20.0667,13.8382
gpt-4o,arc_challenge,60,0.0500,0.2179,0.2639,0.3124,37.8000,16.0611
gpt-4o,boolq,60,0.0000,0.0000,0.0419,0.0526,46.0667,13.2512
gpt-4o,squad,60,0.0000,0.0000,0.1917,0.1310,30.3500,18.3547
gpt-4o,trivia_qa,60,0.0000,0.0000,0.1257,0.1041,26.6333,14.4925
gpt-4o-mini,arc_challenge,60,0.0000,0.0000,0.1253,0.0939,44.1167,8.9407
gpt-4o-mini,boolq,60,0.0000,0.0000,0.0308,0.0213,51.3000,5.7425
gpt-4o-mini,squad,60,0.0000,0.0000,0.1634,0.1374,33.3667,17.4909
gpt-4o-mini,trivia_qa,60,0.0000,0.0000,0.1029,0.1097,31.6500,15.9873
